Time,Pressure Applied (N)
1683629125.334113,-737.7770992366413
1683629126.3368294,-739.6091603053435
1683629127.3390028,-738.387786259542
1683629128.3412886,-736.5557251908398
1683629129.3435767,-739.6091603053435
1683629130.3458686,-748.1587786259543
1683629131.3481631,-736.5557251908398
1683629132.3504536,-737.7770992366413
1683629133.352744,-742.6625954198473
1683629134.355047,-739.6091603053435
1683629135.3573327,-740.830534351145
1683629136.359611,-738.9984732824428
1683629137.361925,-737.7770992366413
1683629138.3641891,-738.9984732824428
1683629139.3663697,-740.2198473282443
1683629140.3685782,-737.7770992366413
1683629141.3708966,-736.5557251908398
1683629142.3731937,-736.5557251908398
1683629143.3754892,-738.9984732824428
1683629144.377794,-734.7236641221375
1683629145.3800771,-737.7770992366413
1683629146.3823926,-738.387786259542
1683629147.3846774,-738.9984732824428
1683629148.3869724,-738.9984732824428
1683629149.3892796,-739.6091603053435
1683629150.3915675,-738.9984732824428
1683629151.3937278,-742.6625954198473
1683629152.3960435,-737.7770992366413
1683629153.3983233,-738.387786259542
1683629154.4006395,-738.9984732824428
1683629155.4029624,-737.7770992366413
1683629156.4052825,-738.387786259542
1683629157.4075966,-732.8916030534351
1683629158.4099588,-738.387786259542
1683629159.4122505,-736.5557251908398
1683629160.4145603,-739.6091603053435
1683629161.4168572,-737.7770992366413
1683629162.4191594,-738.387786259542
1683629163.4214466,-735.3343511450382
1683629164.4237123,-737.7770992366413
1683629165.4260888,-738.387786259542
1683629166.4284067,-738.9984732824428
1683629167.4307382,-737.7770992366413
1683629168.4330633,-738.9984732824428
1683629169.4353678,-736.5557251908398
1683629170.4376657,-738.387786259542
1683629171.4399674,-738.387786259542
1683629172.4415407,-742.0519083969466
1683629173.4438567,-735.9450381679391
1683629174.4461856,-736.5557251908398
1683629175.4484794,-739.6091603053435
1683629176.4507678,-729.8381679389314
1683629177.4529579,-739.6091603053435
1683629178.455191,-736.5557251908398
1683629179.4574974,-733.5022900763358
1683629180.4597561,-732.2809160305344
1683629181.4620833,-737.1664122137405
1683629182.4637744,-738.387786259542
1683629183.466091,-740.2198473282443
1683629184.468368,-738.9984732824428
1683629185.470672,-740.2198473282443
1683629186.473011,-737.7770992366413
1683629187.4746108,-737.7770992366413
